Cluster ID,Label,Top Terms,Size
0,Cluster 0,data | ai | experience | peraton | 000 | work | position | benefits | risk | years,245
1,Cluster 1,ai | ml | kensho | data | lensa | models | team | technical | solutions | experience,275
2,Cluster 2,data | learning | tiktok | ai | machine learning | machine | work | product | experience | models,249
3,Cluster 3,data | ibm | business | science | technical | ai | experience | learning | lensa | work,304
4,Cluster 4,data | role | lensa | job | time | customer | work | paid | position | patterns,893
5,Cluster 5,data | lensa | job | waystar | work | jobs | information | new | york | team,323
6,Cluster 6,data | tiktok | experience | company | information | mission | creativity | work | people | candidates,147
7,Cluster 7,data | experience | work | pay | team | skills | range | program | 00 | engineering,490
8,Cluster 8,data | job | lensa | takeda | ai | business | work | gm | skills | internship,361
9,Cluster 9,data | netflix | experience | ai | analytics | work | team | influencer | marketing | abbvie,232
10,Cluster 10,data | fanduel | work | team | experience | group | engineering | like | technical | real,90
11,Cluster 11,pinterest | learning | machine learning | machine | data | information | work | ll | systems | ml,110
12,Cluster 12,data | work | team | experience | ml | business | internship | company | projects | intern,491
13,Cluster 13,data | work | team | experience | business | time | pay | support | analysis | company,791
